,corrected_question,sparql_query,answer,entity,wiki_answer
2001,In which region was political figure Wayne Allard elected?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wayne_Allard> <http://dbpedia.org/ontology/region> ?uri } ,['http://dbpedia.org/resource/Colorado'],Wayne Allard,Colorado
2004,Who designed Oddamavadi Bridge?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Oddamavadi_Bridge> <http://dbpedia.org/property/designer> ?uri } ,"['http://dbpedia.org/resource/Sri_Lanka', 'http://dbpedia.org/resource/British_Ceylon']",Oddamavadi Bridge,"Sorry, answer not found!"
2007,Who are the founders of Iskra ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Iskra> <http://dbpedia.org/ontology/foundedBy> ?uri } ,"['http://dbpedia.org/resource/Georgi_Plekhanov', 'http://dbpedia.org/resource/Vera_Zasulich', 'http://dbpedia.org/resource/Pavel_Axelrod', 'http://dbpedia.org/resource/Vladimir_Lenin', 'http://dbpedia.org/resource/Julius_Martov', 'http://dbpedia.org/resource/Aleksandr_Potresov', 'http://dbpedia.org/resource/Dmitri_Ilyich_Ulyanov']",Iskra,Leo Deutsch
2008,To which families does the Koolakamba belong ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Koolakamba> <http://dbpedia.org/ontology/family> ?uri } ,[],Koolakamba,"Bili ape
Humanzee"
2019,List the notable work of David Isaacs (writer)?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Isaacs_(writer)> <http://dbpedia.org/ontology/notableWork> ?uri } ,"['http://dbpedia.org/resource/M*A*S*H_(TV_series)', 'http://dbpedia.org/resource/Mad_Men', 'http://dbpedia.org/resource/Cheers', 'http://dbpedia.org/resource/Frasier']",David Isaacs (writer),"Sorry, answer not found!"
2020,What is the province of Egypt Nanotechnology Center ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Egypt_Nanotechnology_Center> <http://dbpedia.org/property/province> ?uri } ,['http://dbpedia.org/resource/Giza'],Nanotechnology,"Berkeley, California"
2035,Where is the origin of Filbert's Old Time Root Beer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Filbert's_Old_Time_Root_Beer> <http://dbpedia.org/ontology/origin> ?uri } ,[],Filbert,Leicester City
2039,To which destinations does Air 2000 fly?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Air_2000> <http://dbpedia.org/property/destinations> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/India', 'http://dbpedia.org/resource/Africa', 'http://dbpedia.org/resource/Europe', 'Global']",Air 2000,2004
2040,What is the political party to which Purnima Banerjee is a member of?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_Nutting> <http://dbpedia.org/ontology/knownFor> ?uri } ,[],Purnima Banerjee,Indian National Congress
2042,What is the ethnicity of Linda Hogan ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Linda_Hogan> <http://dbpedia.org/property/ethnicity> ?uri } ,[],Linda Hogan,American
2064,In which wars has Steven Palazzo fought?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Steven_Palazzo> <http://dbpedia.org/property/battles> ?uri } ,['http://dbpedia.org/resource/Gulf_War'],Steven Palazzo,Persian Gulf War
2078,Where is the headquarter of Regional Transit Authority of Southeast Michigan ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Regional_Transit_Authority_of_Southeast_Michigan> <http://dbpedia.org/property/headquarters> ?uri } ,"['http://dbpedia.org/resource/Detroit', 'http://dbpedia.org/resource/Michigan']",Michigan,Outline of Michigan
2083,Where is Hafthor Julius Bjornsson from?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hafthór_Júlíus_Björnsson> <http://dbpedia.org/ontology/stateOfOrigin> ?uri } ,[],Julius Bjornsson,SodaStream
2104,Who first ascented a mountain of Mount Hoffmann ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_Hoffmann> <http://dbpedia.org/ontology/firstAscentPerson> ?uri } ,['http://dbpedia.org/resource/John_Muir'],Mount Hoffmann,Tuolumne Peak
2108,Where did Wallace Dollase die?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wallace_Dollase> <http://dbpedia.org/ontology/deathPlace> ?uri  . },"['http://dbpedia.org/resource/Louisville,_Kentucky']",Wallace Dollase,Wayback Machine
2109,In which state is Red Willow Creek?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Red_Willow_Creek> <http://dbpedia.org/ontology/state> ?uri } ,[],Red Willow Creek,Nebraska
2134,Name the home ground of  2015 Fort Lauderdale Strikers season ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2015_Fort_Lauderdale_Strikers_season> <http://dbpedia.org/ontology/ground> ?uri } ,"['http://dbpedia.org/resource/Lockhart_Stadium', 'http://dbpedia.org/resource/Fort_Lauderdale,_Florida']",Fort Lauderdale Strikers,"Sorry, answer not found!"
2157,What is the municipality of Liberty Bell ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liberty_Bell> <http://dbpedia.org/ontology/municipality> ?uri } ,[],Liberty Bell,Pennsylvania
2158,Who is the owner of Bloomberg L.P. ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bloomberg_L.P.> <http://dbpedia.org/property/owner> ?uri } ,"['http://dbpedia.org/resource/Merrill_(company)', 'http://dbpedia.org/resource/Michael_Bloomberg']",Bloomberg L.P.,Michael Bloomberg
2161,In which races did Mouse Morris take part?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mouse_Morris> <http://dbpedia.org/property/race> ?uri } ,"['http://dbpedia.org/resource/Grand_National', 'http://dbpedia.org/resource/Irish_Grand_National', 'http://dbpedia.org/resource/Cheltenham_Gold_Cup', ""http://dbpedia.org/resource/Stayers'_Hurdle"", ""http://dbpedia.org/resource/St_James's_Place_Foxhunter_Chase"", 'http://dbpedia.org/resource/Johnny_Henderson_Grand_Annual_Chase', 'http://dbpedia.org/resource/Queen_Mother_Champion_Chase', ""http://dbpedia.org/resource/Baring_Bingham_Novices'_Hurdle"", ""http://dbpedia.org/resource/Supreme_Novices'_Hurdle""]",Mouse Morris,1976 and 1977
2162,Who are the writers of South Park: The Stick of Truth?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Park:_The_Stick_of_Truth> <http://dbpedia.org/property/writer> ?uri } ,"['http://dbpedia.org/resource/Trey_Parker', 'http://dbpedia.org/resource/Matt_Stone', '', 'Eric Fenstermaker']",South Park,Pam Brady
2166,List the trainers of Shinya Aoki ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Shinya_Aoki> <http://dbpedia.org/ontology/trainer> ?uri } ,"['http://dbpedia.org/resource/Chatri_Sityodtong', 'http://dbpedia.org/resource/Yuki_Nakai']",Shinya Aoki,Yuki Nakai
2173,What is the state of origin of Thomas Pfyl ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thomas_Pfyl> <http://dbpedia.org/ontology/stateOfOrigin> ?uri } ,['http://dbpedia.org/resource/Switzerland'],Thomas,New Testament
2175,By which university is the literary magazine named Stone Canoe published?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Stone_Canoe> <http://dbpedia.org/ontology/publisher> ?uri } ,[],Stone Canoe,Upstate New York
2179,Who is the cover artist of Doctor Mirabilis (novel) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doctor_Mirabilis_(novel)> <http://dbpedia.org/property/coverArtist> ?uri } ,['http://dbpedia.org/resource/Roger_Bacon'],Doctor Mirabilis,Roger Bacon
2187,Who is the Pole driver of 1992 Canadian Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1992_Canadian_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } ,['http://dbpedia.org/resource/Ayrton_Senna'],SpacyError,"Sorry, answer not found!"
2200,Who is the appointer of William Cushing ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Cushing> <http://dbpedia.org/ontology/appointer> ?uri } ,[],William Cushing,Chief Justice of the United States
2201,Who is the former partner of Chris Knierim ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chris_Knierim> <http://dbpedia.org/ontology/formerPartner> ?uri } ,"['http://dbpedia.org/resource/Alexa_Scimeca_Knierim', 'http://dbpedia.org/resource/Brynn_Carman']",Chris Knierim,Brandon Frazier
2207,What is the citizenship of Erastus Wiman ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Erastus_Wiman> <http://dbpedia.org/ontology/citizenship> ?uri } ,['http://dbpedia.org/resource/Canadians'],Erastus Wiman,president of the Staten Island Railway Co.
2212,Name the district of Robert William Wilcox ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_William_Wilcox> <http://dbpedia.org/property/district> ?uri } ,['AL'],Robert William Wilcox,Honolulu
2214,What are the academic interest of Philip Novak?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Philip_Novak> <http://dbpedia.org/property/mainInterests> ?uri } ,['http://dbpedia.org/resource/Buddhism'],Philip Novak,sacred texts of the world's religions
2219,List down the prime ministers of Peter Thorneycroft ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Peter_Thorneycroft> <http://dbpedia.org/ontology/primeMinister> ?uri } ,[],Peter Thorneycroft,resigned his commission on 1 July 1931
2225,What is the division of Serbia national American football team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Serbia_national_American_football_team> <http://dbpedia.org/ontology/division> ?uri } ,['http://dbpedia.org/resource/Europe'],football,Major League Rugby
2227,From where is Quinn Ojinnaka billed?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Quinn_Ojinnaka> <http://dbpedia.org/property/billed> ?uri } ,[],Quinn Ojinnaka,Syracuse
2231,Where did Jerry Tagge do his elementary schooling?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerry_Tagge> <http://dbpedia.org/property/highSchool> ?uri } ,['http://dbpedia.org/resource/Green_Bay_West_High_School'],Jerry Tagge,St. Louis
2236,Who is the builder of Presidio Santa Cruz de Terrenate ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Presidio_Santa_Cruz_de_Terrenate> <http://dbpedia.org/ontology/builder> ?uri } ,['http://dbpedia.org/resource/Spain'],SpacyError,"Sorry, answer not found!"
2246,Which awards have Ingmar Bergman won?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ingmar_Bergman> <http://dbpedia.org/property/awards> ?uri } ,"['http://dbpedia.org/resource/Goethe_Prize', 'http://dbpedia.org/resource/Praemium_Imperiale', 'http://dbpedia.org/resource/Academy_Awards', 'http://dbpedia.org/resource/BAFTA_Fellowship', '']",Ingmar Bergman,Cinema of Sweden
2248,In which state is Colemanville Covered Bridge located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Colemanville_Covered_Bridge> <http://dbpedia.org/ontology/state> ?uri } ,[],Colemanville Covered Bridge,Pennsylvania
2251,What is the company of Ford Theatre ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Theatre> <http://dbpedia.org/property/company> ?uri } ,"['http://dbpedia.org/resource/Ford_Motor_Company', 'Screen Gems Television']",Ford Theatre,Radio Logs
2266,What is the bloomington viaduct built to cross?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bloomington_Viaduct> <http://dbpedia.org/property/crosses> ?uri } ,['http://dbpedia.org/resource/Potomac_River'],bloomington viaduct,"Sorry, answer not found!"
2274,Who is the operator of Rainbow Warrior (1955) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rainbow_Warrior_(1955)> <http://dbpedia.org/ontology/operator> ?uri } ,['http://dbpedia.org/resource/Greenpeace'],Rainbow Warrior (1955),Greenpeace
2275,List the guest of the show The Other Side (The Outer Limits)?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Other_Side_(The_Outer_Limits)> <http://dbpedia.org/property/guests> ?uri } ,[],The Other Side (The Outer Limits,"Sorry, answer not found!"
2277,To which state eorge M. Chilcott  belong ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/George_M._Chilcott> <http://dbpedia.org/property/state> ?uri } ,"['http://dbpedia.org/resource/Colorado', 'Colorado', 'Colorado Territory']",M. Chilcott  ,"Sorry, answer not found!"
2285,Name the home Stadium of Kenya national under-20 football team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenya_national_under-20_football_team> <http://dbpedia.org/property/homeStadium> ?uri } ,"['http://dbpedia.org/resource/Kenya', 'http://dbpedia.org/resource/Moi_International_Sports_Centre', 'http://dbpedia.org/resource/Nairobi']",football,"Football
Football field"
2318,Name the species of Liger ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liger> <http://dbpedia.org/ontology/species> ?uri } ,[],Liger,Shasta
2331,Name the composer of motorpsycho Nitemare ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Motorpsycho_Nitemare> <http://dbpedia.org/property/composer> ?uri } ,[],motorpsycho Nitemare,Dylan
2348,Which countries share a similar sociocultural and ethnic heritage of that of Native Indonesians?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Native_Indonesians> <http://dbpedia.org/property/region> ?uri } ,[],Native Indonesians,"the Chinese Minority, and China"
2361,What is the local authority of Liverpool Institute High School for Boys ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liverpool_Institute_High_School_for_Boys> <http://dbpedia.org/ontology/localAuthority> ?uri } ,[],Liverpool Institute,Liverpool City Council
2369,On what subject does WTJC-LP air?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WTJC-LP> <http://dbpedia.org/property/format> ?uri } ,"['http://dbpedia.org/resource/Gospel_music', 'http://dbpedia.org/resource/Caribbean', 'http://dbpedia.org/resource/Religious_broadcasting']",WTJC-LP,"Sorry, answer not found!"
2378,In which state is Dorchester Bay (Boston Harbor) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dorchester_Bay_(Boston_Harbor)> <http://dbpedia.org/property/state> ?uri } ,[],Dorchester Bay (Boston Harbor),"Sorry, answer not found!"
2414,Who are some authoritative persons on the matter of Megabalanus concinnus?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Megabalanus_concinnus> <http://dbpedia.org/ontology/binomialAuthority> ?uri } ,['http://dbpedia.org/resource/Charles_Darwin'],Megabalanus,The World Register of Marine Species
2439,What is the operator of SR class 3Sub ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/SR_class_3Sub> <http://dbpedia.org/ontology/operator> ?uri } ,"['http://dbpedia.org/resource/London', 'http://dbpedia.org/resource/Southern_Railway_(UK)']",3Sub,"Sorry, answer not found!"
2446,What is the regional radio sports network associated with?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Regional_Radio_Sports_Network> <http://dbpedia.org/property/affiliations> ?uri } ,"['http://dbpedia.org/resource/Indiana_High_School_Athletic_Association', 'http://dbpedia.org/resource/Indianapolis_Colts']",regional radio sports network,"Sorry, answer not found!"
2451,List the fields of Sylvain Lvi ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sylvain_Lévi> <http://dbpedia.org/property/fields> ?uri } ,"['http://dbpedia.org/resource/Sanskrit', 'http://dbpedia.org/resource/Sanskrit_literature', 'http://dbpedia.org/resource/Buddhism']",Sylvain Lvi,"Sorry, answer not found!"
2452,"List the  primeministers of Victor Hope, 2nd Marquess of Linlithgow ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Victor_Hope,_2nd_Marquess_of_Linlithgow> <http://dbpedia.org/property/primeminister> ?uri } ","['http://dbpedia.org/resource/Neville_Chamberlain', 'http://dbpedia.org/resource/Stanley_Baldwin', 'http://dbpedia.org/resource/Winston_Churchill']",Linlithgow,Forth to Firth Canal Pathway
2455,Name the language of I Love How You Love Me ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/I_Love_How_You_Love_Me> <http://dbpedia.org/property/language> ?uri } ,['http://dbpedia.org/resource/Slovakia'],I Love How You Love Me,Marika Gombitová
2458,What is the venue of Indy PopCon ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Indy_PopCon> <http://dbpedia.org/property/venue> ?uri } ,"['http://dbpedia.org/resource/Indiana_Convention_Center', 'http://dbpedia.org/resource/Indianapolis', 'http://dbpedia.org/resource/Downtown']",Indy PopCon,2015
2459,Who are the associate musical artists of Dalma Kovcs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dalma_Kovács> <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri } ,"['http://dbpedia.org/resource/Eurovision_Song_Contest', 'http://dbpedia.org/resource/Marius_Moga', 'http://dbpedia.org/resource/Catalin_Măruță', 'http://dbpedia.org/resource/Divertis', 'http://dbpedia.org/resource/Faimoșii', 'http://dbpedia.org/resource/Ploaia_de_stele']",Dalma Kovcs,"Sorry, answer not found!"
2462,Name the other party of Chandra Shekhar ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chandra_Shekhar> <http://dbpedia.org/ontology/otherParty> ?uri } ,[],Chandra Shekhar,Politicians from across the spectrum of Indian parties
2467,Who is the label of The Producers (2005 film) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Producers_(2005_film)> <http://dbpedia.org/property/label> ?uri } ,['http://dbpedia.org/resource/Sony'],The Producers (2005 film),Max Bialystock
2472,Which river flows through Central Washington?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Central_Washington> <http://dbpedia.org/ontology/river> ?uri } ,[],Central Washington,"Cascade Range
Chiwaukum Mountains"
2493,Who is the appointer of Charles Goodell ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charles_Goodell> <http://dbpedia.org/ontology/appointer> ?uri } ,[],Charles Goodell,Charles Ellsworth Goodell
2497,Name the Chris Marve's school ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chris_Marve> <http://dbpedia.org/ontology/school> ?uri } ,[],Chris Marve,White Station High School
2502,Which holy things canonized John of Damascus?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_of_Damascus> <http://dbpedia.org/ontology/canonizedBy> ?uri } ,"['http://dbpedia.org/resource/Lutheranism', 'http://dbpedia.org/resource/Eastern_Catholic_Churches', 'http://dbpedia.org/resource/Eastern_Orthodox_Church', 'http://dbpedia.org/resource/Anglican_Communion', 'http://dbpedia.org/resource/Roman_Catholic_Church']",Damascus,"Damascus Document
List of World Heritage in Danger"
2504,What are the main interests of Timothy Morton?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Timothy_Morton> <http://dbpedia.org/property/mainInterests> ?uri } ,"['http://dbpedia.org/resource/Philosophical_realism', 'http://dbpedia.org/resource/Object-oriented_ontology', 'http://dbpedia.org/resource/Ecocriticism', 'http://dbpedia.org/resource/Buddhism', 'http://dbpedia.org/resource/Metaphysics']",Timothy Morton,Literature and Ecology
2514,Who are the tenants of MasterCard Centre?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/MasterCard_Centre> <http://dbpedia.org/property/tenants> ?uri } ,[],MasterCard Centre,Hockey Canada
2519,List down the cinematographers of Mickey's Mellerdrammer?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mickey's_Mellerdrammer> <http://dbpedia.org/property/cinematography> ?uri } ,"['http://dbpedia.org/resource/Walt_Disney', 'http://dbpedia.org/resource/Wilfred_Jackson']",Mellerdrammer,"Sorry, answer not found!"
2520,List the relative of Tim Nanai-Williams ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tim_Nanai-Williams> <http://dbpedia.org/ontology/relative> ?uri } ,[],Tim Nanai-Williams,Allie
2527,By which companies is RENFE Class 333 designed?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/RENFE_Class_333> <http://dbpedia.org/ontology/designer> ?uri } ,"['http://dbpedia.org/resource/Alstom', 'http://dbpedia.org/resource/General_Motors', 'http://dbpedia.org/resource/NOHAB', 'http://dbpedia.org/resource/Macosa']",RENFE Class 333,Macosa and General Motors
2530,What is the religion of character of Janice Soprano from The Soprano television show?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Janice_Soprano> <http://dbpedia.org/ontology/religion> ?uri } ,"['http://dbpedia.org/resource/Born_again_(Christianity)', 'http://dbpedia.org/resource/Evangelism', 'http://dbpedia.org/resource/Buddhist', 'http://dbpedia.org/resource/Roman_Catholic']",Soprano,women
2532,?What are the airline hubs of Cascade Airways, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cascade_Airways> <http://dbpedia.org/property/hubs> ?uri } ,"['http://dbpedia.org/resource/Seattle', 'http://dbpedia.org/resource/Washington_(state)']",Cascade Airways,Seattle-Yakima-Moses Lake-Spokane
2548,To which settlement does Elliot Bay belong to?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elliott_Bay> <http://dbpedia.org/property/cities> ?uri } ,['http://dbpedia.org/resource/Seattle'],Elliot Bay,New York Alki
2550,Name the river on Batoka Gorge Hydroelectric Power Station ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batoka_Gorge_Hydroelectric_Power_Station> <http://dbpedia.org/ontology/river> ?uri } ,['http://dbpedia.org/resource/Zambezi_River'],Batoka Gorge Hydroelectric Power Station,Victoria Falls
2554,Who is the authority of Maine School of Science and Mathematics ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Maine_School_of_Science_and_Mathematics> <http://dbpedia.org/ontology/authority> ?uri } ,['http://dbpedia.org/resource/State_of_Maine'],Maine School of Science and Mathematics,U.S. News & World Report
2576,Where did Meg McGuffin graduated ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Meg_McGuffin> <http://dbpedia.org/ontology/education> ?uri } ,[],Meg McGuffin,Alabama
2580,Where did Steve Romeo dies ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Steve_Romeo> <http://dbpedia.org/ontology/deathPlace> ?uri } ,"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Ranger_Peak_(Wyoming)', 'http://dbpedia.org/resource/Wyoming']",Steve Romeo,Jackson Hole
2588,What is the workplace of Christopher S. Stewart ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Christopher_S._Stewart> <http://dbpedia.org/property/employer> ?uri } ,['http://dbpedia.org/resource/The_Wall_Street_Journal'],Christopher,Enterprise
2590,Where did Fort Lauderdale Strikers season of 16 take place?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2016_Fort_Lauderdale_Strikers_season> <http://dbpedia.org/ontology/ground> ?uri } ,"['http://dbpedia.org/resource/Central_Broward_Regional_Park', 'http://dbpedia.org/resource/Florida', 'http://dbpedia.org/resource/Lauderhill,_Florida']",Fort Lauderdale Strikers,"Sorry, answer not found!"
2591,"Who is the founder of Hohenau, Paraguay?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hohenau,_Paraguay> <http://dbpedia.org/ontology/founder> ?uri } ","['http://dbpedia.org/resource/Germans', 'http://dbpedia.org/resource/Ambrosio_Scholler', 'http://dbpedia.org/resource/Carlos_Reverchon', 'http://dbpedia.org/resource/Esteban_Scholler', 'http://dbpedia.org/resource/Guillermo_Closs']","Hohenau, Paraguay",Dr. Josef Mengele
2592,Who gave the musical score  of 9 to 5 (musical) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/9_to_5_(musical)> <http://dbpedia.org/ontology/musicBy> ?uri } ,['http://dbpedia.org/resource/Dolly_Parton'],9 to 5,OECD
2601,What is the serving railway line of Rostov-Glavny ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rostov-Glavny> <http://dbpedia.org/ontology/servingRailwayLine> ?uri } ,['http://dbpedia.org/resource/Krasnodar'],Rostov-Glavny,North Caucasus Railway
2606,Who is the headcoach of 2008-09 Marquette Golden Eagles men's basketball team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2008–09_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/property/headcoach> ?uri } ,[],basketball,General Managers
2607,Who is the vice president of Jared Bernstein ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jared_Bernstein> <http://dbpedia.org/ontology/vicePresident> ?uri } ,[],Jared Bernstein,Bill Mitchell
2609,Who is the monarch of Bertalan Szemere ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bertalan_Szemere> <http://dbpedia.org/ontology/monarch> ?uri } ,[],Bertalan Szemere,Lajos Kossuth
2611,What is the place of birth of Lauren Briggs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lauren_Briggs> <http://dbpedia.org/property/placeOfBirth> ?uri } ,[],Lauren Briggs,"Sorry, answer not found!"
2620,List the music of Open House (American Horror Story)?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Open_House_(American_Horror_Story)> <http://dbpedia.org/property/music> ?uri } ,"['', '""Don\'t Look Back"" by Kissing Cousins', '""Harsh Realm"" by Widowspeak', '""I Want a Little Sugar In My Bowl"" by Nina Simone']",American Horror Story,mixed with the show's theme music
2624,Who is the performer of Bengali in Platforms ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bengali_in_Platforms> <http://dbpedia.org/ontology/artist> ?uri } ,[],Bengali,Bengali
2628,List down the important people of The Elders ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Elders_(organization)> <http://dbpedia.org/property/keyPeople> ?uri } ,"['http://dbpedia.org/resource/Mary_Robinson', 'David Nussbaum']",NotFound,"Sorry, answer not found!"
2641,List the maintainers of Pandaruan Bridge?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pandaruan_Bridge> <http://dbpedia.org/ontology/maintainedBy> ?uri } ,"['http://dbpedia.org/resource/Malaysia', 'http://dbpedia.org/resource/Malaysian_Public_Works_Department', 'http://dbpedia.org/resource/Public_Works_Department_of_Brunei', 'http://dbpedia.org/resource/Brunei']",Pandaruan Bridge,"Sorry, answer not found!"
2648,what does the cahora bassa flow into?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cahora_Bassa> <http://dbpedia.org/property/inflow> ?uri } ,['http://dbpedia.org/resource/Zambezi'],cahora bassa,Zambezi River
2649,where did Alfred Tarnowski die?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alfred_Tarnowski> <http://dbpedia.org/property/placeOfDeath> ?uri } ,[],Alfred Tarnowski,Helsinki
2651,In which city is  Arsenal Cider House ? located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Arsenal_Cider_House> <http://dbpedia.org/property/locationCity> ?uri } ,['http://dbpedia.org/resource/Pittsburgh'],Arsenal,French
2658,What is the alma mater of Fikret Orman?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fikret_Orman> <http://dbpedia.org/property/almaMater> ?uri } ,"['http://dbpedia.org/resource/University_of_Florida', 'http://dbpedia.org/resource/Yıldız_Technical_University']",Fikret Orman,Yıldız Technical University
2661,Who wrote the US steel hour?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_United_States_Steel_Hour> <http://dbpedia.org/ontology/writer> ?uri } ,[],US steel hour,"Sorry, answer not found!"
